,Country Name,Country Code,Indicator Name,Indicator Code,2018
0,Aruba,ABW,"Population, total",SP.POP.TOTL,105845.0
1,Afghanistan,AFG,"Population, total",SP.POP.TOTL,37172386.0
2,Angola,AGO,"Population, total",SP.POP.TOTL,30809762.0
3,Albania,ALB,"Population, total",SP.POP.TOTL,2866376.0
4,Andorra,AND,"Population, total",SP.POP.TOTL,77006.0
5,Arab World,ARB,"Population, total",SP.POP.TOTL,419790588.0
6,United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9630959.0
7,Argentina,ARG,"Population, total",SP.POP.TOTL,44494502.0
8,Armenia,ARM,"Population, total",SP.POP.TOTL,2951776.0
9,American Samoa,ASM,"Population, total",SP.POP.TOTL,55465.0
10,Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,96286.0
11,Australia,AUS,"Population, total",SP.POP.TOTL,24992369.0
12,Austria,AUT,"Population, total",SP.POP.TOTL,8847037.0
13,Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9942334.0
14,Burundi,BDI,"Population, total",SP.POP.TOTL,11175378.0
15,Belgium,BEL,"Population, total",SP.POP.TOTL,11422068.0
16,Benin,BEN,"Population, total",SP.POP.TOTL,11485048.0
17,Burkina Faso,BFA,"Population, total",SP.POP.TOTL,19751535.0
18,Bangladesh,BGD,"Population, total",SP.POP.TOTL,161356039.0
19,Bulgaria,BGR,"Population, total",SP.POP.TOTL,7024216.0
20,Bahrain,BHR,"Population, total",SP.POP.TOTL,1569439.0
21,"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,385640.0
22,Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3323929.0
23,Belarus,BLR,"Population, total",SP.POP.TOTL,9485386.0
24,Belize,BLZ,"Population, total",SP.POP.TOTL,383071.0
25,Bermuda,BMU,"Population, total",SP.POP.TOTL,63968.0
26,Bolivia,BOL,"Population, total",SP.POP.TOTL,11353142.0
27,Brazil,BRA,"Population, total",SP.POP.TOTL,209469333.0
28,Barbados,BRB,"Population, total",SP.POP.TOTL,286641.0
29,Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,428962.0
30,Bhutan,BTN,"Population, total",SP.POP.TOTL,754394.0
31,Botswana,BWA,"Population, total",SP.POP.TOTL,2254126.0
32,Central African Republic,CAF,"Population, total",SP.POP.TOTL,4666377.0
33,Canada,CAN,"Population, total",SP.POP.TOTL,37058856.0
34,Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102511922.0
35,Switzerland,CHE,"Population, total",SP.POP.TOTL,8516543.0
36,Channel Islands,CHI,"Population, total",SP.POP.TOTL,170499.0
37,Chile,CHL,"Population, total",SP.POP.TOTL,18729160.0
38,China,CHN,"Population, total",SP.POP.TOTL,1392730000.0
39,Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,25069229.0
40,Cameroon,CMR,"Population, total",SP.POP.TOTL,25216237.0
41,"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,84068091.0
42,"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5244363.0
43,Colombia,COL,"Population, total",SP.POP.TOTL,49648685.0
44,Comoros,COM,"Population, total",SP.POP.TOTL,832322.0
45,Cabo Verde,CPV,"Population, total",SP.POP.TOTL,543767.0
46,Costa Rica,CRI,"Population, total",SP.POP.TOTL,4999441.0
47,Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7358965.0
48,Cuba,CUB,"Population, total",SP.POP.TOTL,11338138.0
49,Curacao,CUW,"Population, total",SP.POP.TOTL,159849.0
50,Cayman Islands,CYM,"Population, total",SP.POP.TOTL,64174.0
51,Cyprus,CYP,"Population, total",SP.POP.TOTL,1189265.0
52,Czech Republic,CZE,"Population, total",SP.POP.TOTL,10625695.0
53,Germany,DEU,"Population, total",SP.POP.TOTL,82927922.0
54,Djibouti,DJI,"Population, total",SP.POP.TOTL,958920.0
55,Dominica,DMA,"Population, total",SP.POP.TOTL,71625.0
56,Denmark,DNK,"Population, total",SP.POP.TOTL,5797446.0
57,Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10627165.0
58,Algeria,DZA,"Population, total",SP.POP.TOTL,42228429.0
59,East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2081651801.0
60,Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3249140605.0
61,East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2328220870.0
62,Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,417797257.0
63,Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,918793590.0
64,Ecuador,ECU,"Population, total",SP.POP.TOTL,17084357.0
65,"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,98423595.0
66,Euro area,EMU,"Population, total",SP.POP.TOTL,341783171.0
67,Eritrea,ERI,"Population, total",SP.POP.TOTL,
68,Spain,ESP,"Population, total",SP.POP.TOTL,46723749.0
69,Estonia,EST,"Population, total",SP.POP.TOTL,1320884.0
70,Ethiopia,ETH,"Population, total",SP.POP.TOTL,109224559.0
71,European Union,EUU,"Population, total",SP.POP.TOTL,513213363.0
72,Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,515215936.0
73,Finland,FIN,"Population, total",SP.POP.TOTL,5518050.0
74,Fiji,FJI,"Population, total",SP.POP.TOTL,883483.0
75,France,FRA,"Population, total",SP.POP.TOTL,66987244.0
76,Faroe Islands,FRO,"Population, total",SP.POP.TOTL,48497.0
77,"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,112640.0
78,Gabon,GAB,"Population, total",SP.POP.TOTL,2119275.0
79,United Kingdom,GBR,"Population, total",SP.POP.TOTL,66488991.0
80,Georgia,GEO,"Population, total",SP.POP.TOTL,3731000.0
81,Ghana,GHA,"Population, total",SP.POP.TOTL,29767108.0
82,Gibraltar,GIB,"Population, total",SP.POP.TOTL,33718.0
83,Guinea,GIN,"Population, total",SP.POP.TOTL,12414318.0
84,"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2280102.0
85,Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1874309.0
86,Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1308974.0
87,Greece,GRC,"Population, total",SP.POP.TOTL,10727668.0
88,Grenada,GRD,"Population, total",SP.POP.TOTL,111454.0
89,Greenland,GRL,"Population, total",SP.POP.TOTL,56025.0
90,Guatemala,GTM,"Population, total",SP.POP.TOTL,17247807.0
91,Guam,GUM,"Population, total",SP.POP.TOTL,165768.0
92,Guyana,GUY,"Population, total",SP.POP.TOTL,779004.0
93,High income,HIC,"Population, total",SP.POP.TOTL,1210312147.0
94,"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7451000.0
95,Honduras,HND,"Population, total",SP.POP.TOTL,9587522.0
96,Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,780234406.0
97,Croatia,HRV,"Population, total",SP.POP.TOTL,4089400.0
98,Haiti,HTI,"Population, total",SP.POP.TOTL,11123176.0
99,Hungary,HUN,"Population, total",SP.POP.TOTL,9768785.0
100,IBRD only,IBD,"Population, total",SP.POP.TOTL,4772284113.0
101,IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,6412522234.0
102,IDA total,IDA,"Population, total",SP.POP.TOTL,1640238121.0
103,IDA blend,IDB,"Population, total",SP.POP.TOTL,555830605.0
